age,workclass,education,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
35,Private,Bachelors,Never-married,Not-in-family,White,Male,0,0,55,United-States,<=50K
28,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,35,United-States,<=50K
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,38,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
39,Private,Bachelors,Married-civ-spouse,Wife,White,Female,0,0,30,United-States,>50K
61,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,Bachelors,Never-married,Other-relative,White,Female,0,0,45,United-States,<=50K
43,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,1902,40,United-States,>50K
23,State-gov,Bachelors,Never-married,Not-in-family,White,Female,0,0,20,United-States,<=50K
42,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,60,United-States,>50K
41,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,Bachelors,Never-married,Not-in-family,White,Female,0,0,40,United-States,<=50K
64,Local-gov,HS-grad,Divorced,Not-in-family,White,Female,0,0,35,United-States,<=50K
35,Local-gov,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
35,State-gov,Masters,Never-married,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,Bachelors,Never-married,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,40,United-States,<=50K
59,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
45,Local-gov,Some-college,Divorced,Not-in-family,White,Female,0,0,38,United-States,<=50K
36,Private,Bachelors,Never-married,Not-in-family,White,Female,0,0,45,United-States,>50K
49,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
45,Private,Bachelors,Divorced,Not-in-family,White,Female,0,0,46,United-States,<=50K
46,Private,Bachelors,Married-civ-spouse,Husband,White,Male,7688,0,45,United-States,>50K
22,Private,Some-college,Never-married,Not-in-family,White,Male,3325,0,40,United-States,<=50K
24,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
73,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,Some-college,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,Some-college,Divorced,Not-in-family,White,Male,0,0,43,United-States,<=50K
72,Local-gov,Doctorate,Married-civ-spouse,Husband,White,Male,0,1258,40,United-States,<=50K
38,Self-emp-not-inc,Doctorate,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
28,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,Bachelors,Never-married,Not-in-family,Asian-Pac-Islander,Male,13550,0,40,United-States,>50K
40,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,0,0,40,United-States,<=50K
50,Private,Masters,Married-civ-spouse,Wife,White,Female,0,0,40,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,0,0,40,United-States,<=50K
41,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,<=50K
20,Private,Some-college,Never-married,Not-in-family,White,Male,0,0,35,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
43,Private,Bachelors,Never-married,Not-in-family,White,Male,0,0,50,United-States,<=50K
26,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,45,Others,>50K
59,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
39,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,50,Others,<=50K
20,Private,HS-grad,Never-married,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Self-emp-not-inc,Bachelors,Divorced,Not-in-family,White,Male,0,0,35,United-States,<=50K
51,Private,HS-grad,Divorced,Other-relative,Black,Male,0,0,32,Others,<=50K
33,Private,Masters,Married-civ-spouse,Husband,White,Male,7298,0,60,Others,>50K
42,Private,Bachelors,Married-civ-spouse,Wife,White,Female,0,0,40,United-States,>50K
35,Private,Some-college,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,1977,50,United-States,>50K
31,Private,Bachelors,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Local-gov,HS-grad,Married-civ-spouse,Husband,White,Male,5013,0,35,United-States,<=50K
27,State-gov,Doctorate,Never-married,Not-in-family,White,Male,0,0,77,United-States,<=50K
53,Local-gov,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
41,Self-emp-not-inc,Some-college,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,<=50K
57,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,1902,40,United-States,>50K
44,Private,Masters,Married-civ-spouse,Husband,White,Male,7688,0,55,United-States,>50K
20,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
40,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,<=50K
65,Private,Bachelors,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,Bachelors,Never-married,Other-relative,White,Male,0,0,40,United-States,<=50K
26,Private,Some-college,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,44,United-States,>50K
41,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,16,United-States,<=50K
25,Private,Some-college,Never-married,Not-in-family,White,Female,0,0,8,United-States,<=50K
57,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,48,United-States,>50K
29,Private,Masters,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,0,40,Others,>50K
42,Private,Masters,Married-civ-spouse,Husband,White,Male,0,1902,50,United-States,>50K
25,Private,HS-grad,Never-married,Not-in-family,Black,Female,0,0,40,United-States,<=50K
27,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
41,Private,HS-grad,Never-married,Not-in-family,White,Male,2174,0,41,United-States,<=50K
53,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,HS-grad,Never-married,Not-in-family,Black,Male,0,0,40,United-States,<=50K
19,Private,HS-grad,Never-married,Not-in-family,White,Female,0,0,37,United-States,<=50K
27,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,15,United-States,<=50K
23,Private,HS-grad,Never-married,Not-in-family,White,Female,0,0,40,Others,<=50K
44,Private,HS-grad,Never-married,Not-in-family,Black,Male,0,0,60,United-States,<=50K
45,Private,Bachelors,Married-civ-spouse,Husband,White,Male,7688,0,50,United-States,>50K
53,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,35,United-States,<=50K
35,Private,HS-grad,Never-married,Not-in-family,White,Female,0,0,40,United-States,<=50K
71,Private,Some-college,Never-married,Not-in-family,White,Female,2964,0,60,United-States,<=50K
30,Private,Some-college,Married-civ-spouse,Wife,White,Female,0,0,40,United-States,<=50K
43,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,43,United-States,>50K
26,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,<=50K
30,Local-gov,Some-college,Married-civ-spouse,Husband,White,Male,15024,0,40,United-States,>50K
48,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
45,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,2179,45,United-States,<=50K
32,Private,HS-grad,Never-married,Not-in-family,Black,Female,0,0,40,United-States,<=50K
29,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,5178,0,40,United-States,>50K
31,Self-emp-not-inc,Bachelors,Married-civ-spouse,Wife,White,Female,0,1902,40,United-States,>50K
40,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,HS-grad,Divorced,Other-relative,Black,Female,0,0,50,United-States,<=50K
46,Private,HS-grad,Divorced,Other-relative,White,Male,0,0,40,United-States,<=50K
35,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,70,United-States,<=50K
31,Private,Bachelors,Never-married,Not-in-family,White,Male,4101,0,50,United-States,<=50K
41,Local-gov,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
63,State-gov,Some-college,Married-civ-spouse,Husband,White,Male,0,0,32,United-States,<=50K
52,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,38,United-States,<=50K
38,State-gov,Doctorate,Married-civ-spouse,Wife,White,Female,7688,0,40,Others,>50K
51,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,50,Others,>50K
43,Private,Bachelors,Divorced,Other-relative,White,Male,0,0,40,United-States,<=50K
58,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
24,Self-emp-not-inc,Some-college,Never-married,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
57,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
49,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,1902,50,United-States,>50K
34,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
32,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,52,United-States,<=50K
57,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,<=50K
47,Local-gov,Masters,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,>50K
57,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,30,United-States,<=50K
26,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
28,Self-emp-not-inc,HS-grad,Never-married,Not-in-family,White,Male,0,0,55,United-States,<=50K
37,Private,Bachelors,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,0,30,United-States,>50K
24,Private,Some-college,Never-married,Not-in-family,White,Female,0,0,30,United-States,<=50K
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Wife,White,Female,0,2179,12,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,HS-grad,Never-married,Not-in-family,Black,Female,0,1721,30,United-States,<=50K
29,Private,Bachelors,Never-married,Not-in-family,Black,Female,0,0,40,United-States,<=50K
36,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,HS-grad,Divorced,Not-in-family,White,Male,0,0,50,United-States,<=50K
38,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
34,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
59,Self-emp-not-inc,HS-grad,Divorced,Not-in-family,White,Male,0,0,60,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Husband,White,Male,3942,0,45,United-States,<=50K
30,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
43,Private,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,2829,0,60,Others,<=50K
41,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,40,Others,>50K
51,Private,HS-grad,Never-married,Not-in-family,White,Female,0,0,40,United-States,<=50K
56,State-gov,Doctorate,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,2885,0,40,Others,<=50K
48,Private,Bachelors,Divorced,Other-relative,White,Male,0,0,40,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,>50K
46,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,70,United-States,<=50K
49,Local-gov,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
34,Private,Bachelors,Never-married,Other-relative,White,Female,0,1741,45,United-States,<=50K
52,Local-gov,Masters,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
48,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,65,United-States,>50K
50,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,0,0,40,United-States,<=50K
51,Private,Some-college,Married-civ-spouse,Wife,White,Female,0,0,35,United-States,<=50K
25,Local-gov,Bachelors,Married-civ-spouse,Wife,White,Female,0,0,38,United-States,>50K
32,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,48,United-States,<=50K
46,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
37,Private,Some-college,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,<=50K
39,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
52,Private,Some-college,Married-civ-spouse,Husband,White,Male,3103,0,55,United-States,>50K
27,Private,HS-grad,Never-married,Not-in-family,Black,Male,3325,0,40,United-States,<=50K
43,Private,HS-grad,Divorced,Other-relative,White,Male,0,0,40,United-States,<=50K
38,Local-gov,Bachelors,Married-civ-spouse,Husband,Black,Male,0,0,40,United-States,<=50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,Black,Male,0,0,45,United-States,<=50K
29,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Husband,White,Male,2829,0,40,United-States,<=50K
35,Private,Bachelors,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,Others,<=50K
52,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
59,Private,Some-college,Married-civ-spouse,Husband,White,Male,4064,0,40,United-States,<=50K
57,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,48,United-States,<=50K
34,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,1485,40,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,>50K
28,Private,Bachelors,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
29,Private,Masters,Married-civ-spouse,Husband,White,Male,0,0,20,United-States,<=50K
41,Private,HS-grad,Divorced,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Private,HS-grad,Married-civ-spouse,Husband,White,Male,4386,0,40,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Wife,Black,Female,0,0,40,United-States,<=50K
48,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
61,Private,Bachelors,Married-civ-spouse,Husband,White,Male,15024,0,50,United-States,>50K
51,State-gov,Some-college,Divorced,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
27,Private,Bachelors,Married-civ-spouse,Other-relative,White,Male,0,0,50,United-States,<=50K
29,Private,HS-grad,Never-married,Not-in-family,White,Male,0,1974,35,United-States,<=50K
21,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,HS-grad,Never-married,Not-in-family,White,Female,0,0,40,Others,<=50K
38,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,48,United-States,>50K
41,Self-emp-not-inc,Some-college,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
21,Private,HS-grad,Divorced,Other-relative,White,Male,0,0,40,United-States,<=50K
49,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,1977,45,Others,>50K
29,Private,Bachelors,Never-married,Not-in-family,White,Female,14344,0,40,United-States,>50K
43,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,38,United-States,>50K
35,Self-emp-not-inc,Bachelors,Never-married,Not-in-family,Black,Female,0,0,60,United-States,<=50K
53,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,38,United-States,<=50K
33,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,39,United-States,<=50K
21,Private,HS-grad,Never-married,Other-relative,White,Female,0,0,40,United-States,<=50K
26,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,Others,<=50K
47,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
53,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,35,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,0,0,40,United-States,<=50K
55,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,40,Others,<=50K
51,Private,Masters,Married-civ-spouse,Husband,White,Male,99999,0,50,Others,>50K
38,Private,Bachelors,Divorced,Other-relative,White,Male,0,0,40,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,48,United-States,<=50K
37,Self-emp-not-inc,Doctorate,Never-married,Not-in-family,White,Female,0,2559,60,United-States,>50K
22,Private,Bachelors,Never-married,Other-relative,White,Female,0,0,40,United-States,<=50K
33,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,<=50K
39,Local-gov,Some-college,Never-married,Not-in-family,Black,Female,0,0,40,United-States,>50K
38,Private,Some-college,Divorced,Not-in-family,Black,Female,0,0,28,United-States,<=50K
51,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,60,Others,<=50K
46,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
45,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
33,State-gov,Masters,Never-married,Not-in-family,White,Male,0,0,30,United-States,<=50K
23,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,<=50K
33,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,45,United-States,<=50K
68,Private,Masters,Never-married,Not-in-family,White,Female,3273,0,40,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,48,United-States,<=50K
20,Private,Some-college,Never-married,Not-in-family,White,Male,0,0,45,United-States,<=50K
44,Private,Masters,Married-civ-spouse,Husband,White,Male,0,0,35,United-States,>50K
43,Self-emp-not-inc,Bachelors,Never-married,Not-in-family,White,Female,0,0,60,United-States,<=50K
22,Private,Some-college,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,<=50K
57,Self-emp-not-inc,Doctorate,Married-civ-spouse,Husband,White,Male,0,0,35,United-States,<=50K
61,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
53,Private,Masters,Married-civ-spouse,Husband,White,Male,0,1902,50,United-States,>50K
48,Private,Bachelors,Divorced,Not-in-family,White,Female,0,0,44,Others,<=50K
54,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,>50K
46,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,1977,50,United-States,>50K
29,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,<=50K
28,Private,Masters,Married-civ-spouse,Husband,White,Male,0,0,38,United-States,>50K
53,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
51,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,<=50K
28,Private,Bachelors,Married-civ-spouse,Wife,Black,Female,0,0,40,Others,<=50K
26,Private,HS-grad,Divorced,Not-in-family,White,Male,0,0,40,United-States,<=50K
54,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
59,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,50,Others,<=50K
54,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,>50K
44,Private,Some-college,Divorced,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
60,Private,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
45,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,40,United-States,<=50K
39,State-gov,Bachelors,Never-married,Not-in-family,White,Male,0,0,35,United-States,<=50K
44,Private,Bachelors,Divorced,Not-in-family,White,Male,0,0,50,United-States,>50K
45,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Local-gov,HS-grad,Married-civ-spouse,Husband,Black,Male,0,0,40,United-States,>50K
45,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,3137,0,35,United-States,<=50K
40,Private,Bachelors,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,7688,0,52,Others,>50K
50,Local-gov,Masters,Married-civ-spouse,Wife,White,Female,0,1902,40,United-States,>50K
48,Self-emp-not-inc,Some-college,Married-civ-spouse,Husband,White,Male,5013,0,45,United-States,<=50K
31,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,48,United-States,<=50K
29,Private,Masters,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
44,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,45,United-States,>50K
29,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,40,Others,<=50K
52,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,Bachelors,Married-civ-spouse,Wife,White,Female,0,0,50,United-States,>50K
39,Private,Some-college,Divorced,Not-in-family,White,Female,0,0,40,Others,<=50K
34,State-gov,Doctorate,Married-civ-spouse,Husband,White,Male,0,0,45,Others,>50K
30,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Wife,White,Female,0,0,40,United-States,>50K
40,Local-gov,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,20,United-States,<=50K
56,Local-gov,Masters,Married-civ-spouse,Husband,Black,Male,0,0,40,United-States,>50K
19,Private,HS-grad,Never-married,Not-in-family,White,Female,0,0,50,United-States,<=50K
41,Private,HS-grad,Never-married,Not-in-family,White,Male,0,0,54,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,<=50K
55,Private,HS-grad,Divorced,Not-in-family,White,Male,0,0,40,Others,<=50K
28,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
35,Private,Bachelors,Married-civ-spouse,Husband,White,Male,4386,0,47,United-States,>50K
30,Private,Masters,Married-civ-spouse,Husband,White,Male,4386,0,40,United-States,>50K
68,Private,Some-college,Divorced,Not-in-family,White,Male,0,0,30,United-States,<=50K
24,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,Some-college,Married-civ-spouse,Wife,White,Female,0,0,20,United-States,>50K
35,Private,HS-grad,Married-civ-spouse,Husband,White,Male,7688,0,50,United-States,>50K
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
42,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
